,city,city id,lat,lng,temp,humidity,wind speed,cloudiness
0,Burbure,3029548,50.536629,2.46897,48.63,93,12.75,90
1,Bojnice,3061015,48.785109999999996,18.586399,39.22,55,2.37,0
2,Ilowo -Osada,7534560,53.168079000000006,20.29295,33.5,67,7.63,76
3,Santa Cruz del Quiche,3589404,15.030560000000001,-91.148888,76.29,36,3.15,0
4,Itatskiy,1505383,56.07,89.03694200000001,25.58,81,13.56,56
5,Ponts,3113231,41.916069,1.18515,58.79,50,5.61,32
6,Uinskoye,479442,56.881741000000005,56.581348,21.8,87,4.61,92
7,San Antonio,3670107,9.93303,-74.69345899999999,97.13,46,4.16,8
8,Zidlochovice,3061472,49.03952,16.618810999999997,37.71,74,11.41,0
9,Chateaubriant,3026303,47.716671000000005,-1.38333,53.6,76,8.05,90
10,Chester,4351248,38.975390999999995,-76.28939799999999,44.24,52,6.93,40
11,Dourdan,3020925,48.527721,2.01113,52.48,81,12.75,90
12,Porteirinha,3452956,-15.743329999999998,-43.028332,85.61,49,8.75,0
13,Old Harbour Bay,3489225,17.90918,-77.097183,84.2,62,10.29,20
14,Sankt Wolfgang,2841457,48.216671000000005,12.13333,41.68,70,4.7,0
15,Sainte-Therese,6138121,45.639221,-73.827568,44.01,33,14.99,90
16,Dragomiresti,678924,46.633331,27.35,40.15,80,4.7,90
17,Maroubra,2158651,-33.950001,151.233337,60.4,77,6.93,40
18,Yangzhong,1787230,26.705561,119.374443,54.24,100,1.14,56
19,Lake Erie Beach,5123788,42.624229,-79.066978,39.96,80,13.87,90
20,Agios Athanasios,736621,40.717220000000005,22.72806,55.4,66,1.12,40
21,Ragay,1691941,13.8183,122.79229699999999,74.27,97,9.64,68
22,Jimena de la Frontera,2516315,36.435169,-5.453869999999999,67.01,60,5.82,0
23,Herouville-Saint-Clair,3013403,49.210879999999996,-0.30653,47.59,81,18.34,90
24,Celles-sur-Durolle,3027988,45.857867999999996,3.6353400000000002,52.95,71,8.05,75
25,Sernur,496561,56.933331,49.15361,21.12,91,9.98,92
26,Montagnana,3173110,45.22868,11.4635,53.56,50,4.7,24
27,Volgograd,472757,48.719390999999995,44.501839000000004,39.2,100,13.42,92
28,Masaguisi,1700786,12.75452,121.44841799999999,67.88,92,2.37,44
29,Alrewas,2657432,52.732780000000005,-1.74968,46.96,66,8.05,75
30,Panukulan,1694895,14.933329999999998,121.814438,77.46,98,17.81,32
31,Ticala-an,1682122,8.03528,124.620827,56.22,89,2.59,8
32,Rheda-Wiedenbruck,2847690,51.84967,8.30017,45.07,75,5.82,90
33,Anyama,2292852,5.494619999999999,-4.051830000000001,84.2,83,10.29,40
34,Rivera,3440781,-30.905340000000002,-55.550757999999995,70.89,87,10.98,92
35,Banks,2656388,53.683331,-2.91667,45.97,87,14.99,40
36,Beaver Creek,5713224,45.287898999999996,-122.53563700000001,48.2,93,4.7,90
37,Steenwerck,2973821,50.701988,2.77829,47.52,93,12.75,90
38,Namsos,3145023,64.46624,11.49572,30.6,74,3.36,0
39,Bagahanlad,1729228,12.5797,123.6688,79.17,96,12.1,64
40,Nereju,672301,45.716671000000005,26.716669,34.62,91,3.27,76
41,Vizcachane,3925955,-15.80861,-71.201111,54.2,54,3.15,0
42,Catio,2373526,11.28333,-15.25,87.95,44,6.17,92
43,Essex,4354428,39.309269,-76.47496,43.88,52,4.5,88
44,Peranampattu,1259892,12.93333,78.716667,70.76,77,6.17,0
45,Druzhinino,564878,56.789452000000004,59.514278000000004,26.34,90,2.71,92
46,Szalkszentmarton,3044941,46.975651,19.011779999999998,43.63,56,6.93,0
47,Podhom,3193011,46.400002,14.1,41.65,80,6.93,75
48,Warrenton,941931,-28.11396,24.84753,67.97,37,5.28,0
49,Quitang,1691968,13.5513,123.052902,74.27,97,9.64,68
50,Coatbridge,2652696,55.862159999999996,-4.0246900000000005,43.41,87,10.29,40
51,Gorseinon,2648290,51.669312,-4.0416300000000005,46.42,93,12.75,90
52,Lehtimaki,648554,62.783329,23.91667,21.2,57,2.24,75
53,Windesheim,2808219,49.900002,7.816669999999999,42.8,81,6.93,90
54,Nadezhda,523715,44.099998,44.599998,43.85,90,5.73,0
55,Mindyak,526489,54.023102,58.789101,24.8,68,11.18,40
56,Park Hills,4402479,37.854221,-90.51818100000001,60.8,93,3.36,90
57,Cordun,680831,46.950001,26.866671000000004,40.14,80,4.7,90
58,San Ciro de Acosta,3519570,21.633329,-99.816673,81.06,55,2.15,0
59,Bergeyk,2759132,51.319171999999995,5.3583300000000005,44.2,93,9.17,90
60,La Longueville,3008426,50.289390999999995,3.8567199999999997,46.36,93,12.75,90
61,Schutterwald,2835596,48.450001,7.88333,46.4,81,10.29,90
62,Varkkallai,1253392,8.7341,76.706711,84.2,79,2.24,20
63,Itaquaquecetuba,3460644,-23.486110999999998,-46.348331,81.34,74,3.36,75
64,Sura Mare,665752,45.849998,24.16667,37.4,86,10.29,75
65,Lunao,1705089,8.85028,125.056389,74.76,93,6.06,48
66,Santiago Pinotepa Nacional,3516926,16.316669,-98.01666999999999,88.85,47,5.95,0
67,Kirkliston,2645249,55.95364,-3.40288,45.09,81,12.75,90
68,Pohorelice,3067953,48.981190000000005,16.52445,37.67,74,11.41,0
69,Sindi,1256206,20.799999,78.86666899999999,80.6,24,4.7,0
70,Baishan,2038584,41.943062,126.42861200000002,51.99,68,11.43,32
71,Ixtapa,4004294,17.667820000000003,-101.64164699999999,84.2,62,8.05,5
72,Limours,2998269,48.646252000000004,2.07688,52.32,81,12.75,90
73,Helmstedt,2906676,52.227901,11.00985,44.6,78,8.05,0
74,Balite,1728019,14.9,120.78333300000001,75.78,73,2.24,75
75,Pignataro Interamna,3170719,41.43922,13.78621,52.72,57,2.24,75
76,Summerville,4597919,33.018501,-80.175652,54.19,62,4.72,90
77,Korgan,742658,40.824718,37.346668,47.49,65,1.36,0
78,Sora,3166387,41.715721,13.6141,50.81,57,2.24,75
79,Palmito,3673143,9.33333,-75.550003,93.2,52,3.15,40
80,Nereto,3172311,42.81905,13.81599,51.8,76,2.24,0
81,Yavatmal,1252770,20.4,78.13333100000001,69.81,45,2.93,0
82,Moonachie,5101376,40.841209,-74.04514300000001,43.21,41,4.7,1
83,Moldava nad Bodvou,724111,48.614281,20.999571,41.0,90,11.41,75
84,Bokaro,1275362,23.783331,85.966667,68.51,43,7.18,0
85,Naduvattam,1262284,11.48333,76.566673,65.45,74,1.7,20
86,Ledenice,3072234,48.933289,14.61886,39.17,82,3.49,92
87,Pribrezhnyy,7117224,53.486622,49.85836,30.2,74,11.18,40
88,Redziny,3087256,50.859219,19.2162,32.0,90,3.36,75
89,Lima Duarte,3458591,-21.842501000000002,-43.79306,77.0,57,9.17,75
90,Silongin,1686455,13.29972,122.52139299999999,78.23,100,14.23,8
91,Malapag,1703062,7.13333,124.816673,71.66,87,1.14,8
92,Triebes,2821192,50.683331,12.03333,40.12,69,3.36,0
93,Santa Lucia Milpas Altas,3589285,14.575829999999998,-90.678612,77.0,47,13.87,75
94,Rakitovo,727801,41.98333,24.08333,48.2,100,3.36,68
95,Agueda,2743292,40.577202,-8.44442,55.4,76,13.87,0
96,Tortolita,5317867,32.410351,-111.017319,61.39,25,6.93,1
97,Apison,4602916,35.023959999999995,-85.023842,54.46,62,10.29,90
98,Plagiarion,734564,40.473652,22.958031,55.4,66,1.12,40
99,Montorso Vicentino,3172638,45.490891,11.3602,51.76,50,4.7,36
100,Urussu,478565,54.598122,53.463131000000004,28.64,93,12.44,80
101,Tuxford,2635321,53.230042000000005,-0.89325,47.95,76,10.29,75
102,Sladna,3190652,44.729439,18.42417,42.8,81,2.24,75
103,Riantec,2983730,47.71093,-3.31629,51.01,100,11.41,90
104,La Paz,3442098,-34.761669,-56.22361,73.33,53,8.05,20
105,Mamadysh,529709,55.71524,51.40797,30.2,86,20.13,90
106,San Fernando,1690043,13.5656,123.145302,74.27,97,9.64,68
107,Szombathely,3044310,47.230881,16.62155,42.8,78,6.93,75
108,Cerna Hora,3078085,49.413609,16.5814,37.67,74,11.41,0
